,Quiz,Correct,Reason
1,パスワードは忘れてしまうため、同じのを使いまわすのが良い,0,一つのサービスで漏洩すると、他のサービスも危険にさらされてしまいます
2,パスワードは定期的に更新するべきである,0,変更がかえって脆弱なパスワードの使用に繋がる可能性があります(NIST(アメリカ国立標準技術研究所)準拠)
3,パスワードは長く、複雑であるほど安全である,1,大小文字、数字、記号などをランダムに組み合わせるとより安全になります
4,2段階認証は、パスワードの代わりになる,0,2段階認証はパスワードによる認証を補完するものであり、代わりにはなりません
5,「p@ssword」これは記号が入っているので安全なパスワードである,0,aを@に置き換えるのは「リート文字(leet)」と呼ばれる手法であり、安全ではないです
6,パスワードを紙に書いて管理するのは安全である,1,NISC(内閣サイバーセキュリティセンター)推奨のパスワード管理方法です。意外と安全です。
7,Wi-Fiを利用する際は、暗号化方式がWEPでも問題ない,0,WEPは非常に脆弱であり、簡単に解読される可能性があります。必ずWPA2以上を使用しましょう。
8,公開鍵暗号方式では、秘密鍵を安全に管理する必要がある。,1,公開鍵暗号は、秘密鍵が漏洩すると暗号が解読されるリスクがあります。
9,SNSにアップロードした画像に位置情報が含まれる場合がある。,1,画像に埋め込まれたEXIFデータに位置情報が含まれることがあります。
10,詐欺のサイトを見分けるには、URLが正しいかを確認するのが有効である。,1,有効ですが、本物のサイトに似たURLを使用して騙そうとする場合もあるので注意深く比較する必要があります
11,見知らぬUSBデバイスを見つけた場合、確認のためにPCに接続しても問題ない。,0,見知らぬデバイスはマルウェア感染のリスクがあるため、接続するのは非常に危険です
12,最新のソフトウェアアップデートをインストールすることはセキュリティ向上に有効である。,1,最新のアップデートは既知の脆弱性を修正するため、常に適用することが推奨されます。
13,すべてのアカウントに強いパスワードを設定すれば、二要素認証は不要である。,0,二要素認証はパスワード漏洩時の追加保護として有効です。
14,ランサムウェアに感染し、身代金を請求された場合は、身代金を支払うのが最善である。,0,支払ってもデータが戻る保証はなく、犯罪者を助長する可能性があります。
15,ハードディスクなどのデータ保管ドライブを廃棄する際、データを消去するだけで十分である。,0,物理的破壊または専門的な消去ツールで消去しないと、データを復元される可能性があります。
16,ソーシャルエンジニアリング攻撃とは、技術的な知識はほとんど使わないものである。,1,ソーシャルエンジニアリングとは心理的な操作で情報を引き出す手法です。
17,オフィスのPCにパスワードを書いたメモを貼っておくのは安全である。,0,他人に見られる可能性があり、非常に危険であり、脆弱です。
18,HTTPSのウェブサイトは完全に安全である。,0," HTTPSは通信を暗号化しますが、""サイト自体の信頼性""を保証するものではありません。"
